"","kdagur","nuvirdi","teg_eign","svfn","aldur","fjmib","lyfta","ummal","ibm2","fjhaed","fjbkar","fjsturt","fjklos","fjeld","fjherb","fjstof","stig10","bilskurm2","svalm2","geymm2","matssvaedi","undirmatssvaedi","ibteg"
"1900",2147,10.5704190862777,"Ibudareign","Sel",9,"1","0",90,4.73444252169223,"1","1","1","1","1","3","1",10,0,1,-1.8,"400","0","2"
"1901",2141,9.82281964946867,"Ibudareign","Rvk",44,"1","0",29.8,4.18661983833127,"1","1","0","1","1","1","1",10,0,524,1.09861228866811,"11","0","2"
"1902",2146,9.20994029195484,"Ibudareign","Rvk",111,"1","0",33,3.41114771251532,"1","0","1","1","1","0","1",10,0,1,1.28093384546206,"25","0","2"
"1906",2140,10.208395405653,"Ibudareign","Grb",40,"1","0",64.4,4.64439089914137,"1","1","0","1","1","2","1",10,18.5,1,1.87180217690159,"500","0","2"
"1907",2144,9.82671449373021,"Ibudareign","Rvk",77,"1","0",38.2,4.32941668440158,"1","1","0","1","1","2","1",10,0,351,2.05412373369555,"72","3","2"
"1909",2141,10.0212705881925,"Ibudareign","Grb",12,"1","1",320.5,4.22829253473184,"1","0","1","1","1","1","1",10,0,575,1.98787434815435,"510","0","2"
"1910",2139,10.7861801349793,"Einbylishus","Hfj",14,"1","0",44,5.16192474164248,"2","1","1","2","1","3","2",10,26.6,191,-1.8,"630","0","1"
"1911",2153,9.82433611423069,"Ibudareign","Rvk",19,"1","0",74.8,4.38825718442452,"1","1","0","1","1","2","1",10,0,681,1.6094379124341,"130","0","2"
"1912",2151,10.562172679541,"Ibudareign","Rvk",10,"1","1",64.9,4.65871095291612,"1","1","1","1","1","1","1",10,0,92,2.47653840011748,"20","52","2"
"1913",2146,10.3114827904979,"Einbylishus","Rvk",63,"1","0",37,4.71849887129509,"2","1","0","2","1","5","1",10,0,1,-1.8,"281","0","1"
"1914",2139,10.3443198044816,"Ibudareign","Hfj",13,"1","0",74.8,4.65586330030361,"1","0","1","1","1","2","2",10,0,175,2.21920348405499,"600","0","2"
"1915",2139,10.7381342953698,"Einbylishus","Hfj",15,"1","0",66,5.11739483066779,"1","1","1","2","1","2","2",10,34.1,1,-1.8,"630","0","1"
"1916",2139,10.0839740933844,"Ibudareign","Hfj",7,"1","0",61,4.54754107315146,"1","1","1","1","1","2","1",10,0,551,1.97408102602201,"640","0","2"
"1917",2138,9.7626725558939,"Ibudareign","Hfj",49,"1","0",60.7,4.51195780426591,"2","1","0","1","1","2","1",10,0,517,-1.8,"680","0","2"
"1918",2141,10.4378734407111,"Ibudareign","Hfj",8,"1","1",160,4.78998862298063,"1","1","1","2","1","2","1",10,0,1,2.65324196460721,"600","18","2"
"1919",2154,9.77315105080812,"Ibudareign","Kop",35,"1","0",70.2,4.38327585407431,"1","1","0","1","1","2","1",10,0,68,-1.8,"320","15","2"
"1920",2140,10.0119382885409,"Ibudareign","Kop",7,"1","0",308.8,4.25277179881662,"1","1","0","1","1","2","1",10,0,600,1.87180217690159,"340","0","2"
"1921",2140,10.109118652099,"Ibudareign","Kop",7,"1","0",308.8,4.28908863901461,"1","0","1","1","1","2","1",10,0,639,1.79175946922805,"340","0","2"
"1922",2139,10.1586335199758,"Ibudareign","Kop",14,"1","1",213.3,4.39937527300849,"1","1","0","1","1","2","1",10,0,52,1.91692261218206,"350","0","2"
"1923",2141,10.1008619119564,"Ibudareign","Kop",20,"1","0",53.2,4.47049528266149,"1","1","1","1","1","2","1",10,0,1,2.04122032885964,"330","0","2"
"1924",2152,9.76422548520262,"Ibudareign","Kop",10,"1","1",109,3.97781074596615,"1","0","1","1","1","1","1",10,0,416,-1.8,"300","104","2"
"1925",2154,9.94841311588912,"Ibudareign","Sel",36,"1","1",393,4.30676415017333,"1","0","1","1","1","1","1",10,0,524,1.52605630349505,"400","0","2"
"1926",2140,10.8292532547728,"Einbylishus","Rvk",37,"1","0",50,5.5182557869133,"2","1","2","2","1","6","2",10,62.4,155,-1.8,"220","0","1"
"1927",2146,10.1999559122685,"Ibudareign","Rvk",82,"1","0",20.5,4.52504414150881,"1","1","1","1","1","2","2",10,0,178,2.90142159408275,"25","0","2"
"1930",2138,9.97989288373853,"Ibudareign","Hfj",49,"1","0",109.8,4.78498861256393,"1","1","0","1","1","3","1",10,0,64,2.04122032885964,"600","0","2"
"1931",2138,9.7913261856478,"Ibudareign","Hfj",71,"1","0",34,4.11251186617755,"1","1","0","1","1","1","2",10,0,1,0.470003629245736,"660","0","1"
"1932",2140,9.76198159024195,"Ibudareign","Rvk",33,"1","0",60.5,4.18661983833127,"1","1","1","1","1","1","1",10,0,1,-1.8,"220","0","2"
"1933",2141,10.2008476415392,"Ibudareign","Rvk",72,"1","0",43.2,4.64150211523548,"1","0","1","1","1","2","2",10,24.5,289,1.66770682055808,"100","0","2"
"1934",2139,9.21034037197618,"Ibudareign","Rvk",39,"1","0",86.1,3.64283551561253,"1","0","1","1","1","0","1",10,0,1,1.54756250871601,"160","0","2"
"1935",2139,9.36022482151347,"Ibudareign","Rvk",39,"1","0",86.1,3.64283551561253,"1","0","1","1","1","0","1",10,0,1,1.54756250871601,"160","0","2"
"1936",2141,9.84485157705117,"Ibudareign","Rvk",90,"1","0",40.2,4.16666522380173,"1","0","1","1","1","3","1",10,0,1,-1.8,"70","0","2"
"1939",2138,10.5029282666558,"Einbylishus","Hfj",60,"1","0",46.6,4.77744140692854,"1","1","0","1","1","3","1",10,24.3,1,2.88480071284671,"680","0","1"
"1940",2139,9.67319349719308,"Ibudareign","Rvk",85,"1","0",40.6,3.81330703248899,"1","0","1","1","1","1","1",10,0,1,0.693147180559945,"20","0","2"
"1941",2151,11.2581364358205,"Einbylishus","Rvk",79,"1","0",45,5.41343017364854,"3","1","1","2","1","6","2",10,38,156,-1.8,"100","16","1"
"1944",2167,9.63443094420751,"Ibudareign","Rvk",44,"1","1",116,4.15261347034608,"1","1","1","1","1","1","1",10,0,246,-1.8,"160","0","2"
"1945",2140,10.4167003247946,"Radhus","Rvk",43,"1","0",36.6,5.43153621033426,"3","1","0","2","1","5","2",10,22.5,83,-1.8,"150","14","1"
"1946",2168,10.3678188746223,"Ibudareign","Rvk",10,"1","1",70.3,4.61313835563727,"1","1","1","2","1","2","1",10,0,512,2.10413415427021,"20","52","2"
"1947",2141,9.79884899842356,"Ibudareign","Rvk",88,"1","0",45.5,4.10098910494077,"1","0","1","1","1","2","1",10,0,1,-1.8,"11","0","2"
"1948",2138,10.0547053642787,"Ibudareign","Kop",14,"1","1",138.6,4.47960696301275,"1","1","0","1","1","2","1",10,0,681,2.05412373369555,"350","0","2"
"1949",2137,9.95180141281468,"Ibudareign","Hfj",27,"1","0",67.2,4.65491227788291,"1","1","1","1","1","3","2",10,0,1,1.52605630349505,"620","0","2"
"1950",2138,10.3208153531868,"Ibudareign","Kop",15,"1","1",283.7,4.80073696953207,"1","1","0","1","1","2","1",10,0,649,1.96009478404727,"340","0","2"
"1951",2138,10.0810059258241,"Ibudareign","Kop",51,"1","0",64.3,4.87213921684233,"1","1","0","1","1","1","1",10,0,1,-1.8,"300","0","2"
"1952",2138,11.1276893638337,"Einbylishus","Grb",25,"1","0",52.3,5.31172705345795,"2","1","1","2","1","3","2",10,46.9,670,-1.8,"500","0","1"
"1953",2141,9.76995615991161,"Ibudareign","Rvk",73,"1","0",41,4.2570301444992,"1","0","1","1","1","1","1",10,0,1,2.00148000021012,"90","13","2"
"1954",2140,10.3417424834673,"Ibudareign","Rvk",68,"1","0",40,4.39321382406445,"1","1","0","1","1","2","1",10,30,342,-1.8,"70","0","2"
"1956",2141,10.1722925692182,"Ibudareign","Rvk",72,"1","0",60,4.45085282560373,"1","1","0","1","1","2","1",10,0,278,2.09186406167839,"80","0","2"
"1958",2152,9.75417514934912,"Ibudareign","Kop",44,"1","0",61.3,4.30135873160643,"1","1","0","1","1","2","1",10,0,632,-1.8,"320","0","2"
"1959",2140,10.6286177789491,"Radhus","Rvk",50,"1","0",60.2,4.90305008341632,"1","1","0","2","1","4","2",10,20.7,1,-1.8,"200","0","1"
"1960",2140,9.64303146633794,"Ibudareign","Rvk",50,"1","0",53.5,4.22097721315547,"1","1","0","1","1","1","1",10,0,1,2.17475172148416,"170","0","2"
"1961",2137,9.9020865716205,"Ibudareign","Kop",10,"1","1",109,4.04655389838575,"1","0","1","1","1","1","1",10,0,351,1.70474809223843,"300","104","2"
"1966",2151,10.594131602878,"Einbylishus","Rvk",63,"1","0",40.7,4.88884423704233,"2","2","0","2","1","6","1",10,40.1,551,5.16478597392351,"281","0","1"
"1967",2144,9.58877680769643,"Ibudareign","Rvk",55,"1","0",92.3,4.09933210373314,"1","1","0","1","1","1","1",10,0,351,1.50407739677627,"100","0","2"
"1968",2140,11.1190825566899,"Ibudareign","Rvk",22,"1","1",82.9,5.16077795252597,"1","1","1","2","1","2","2",10,0,159,3.48431228837266,"100","0","2"
"1969",2140,10.3747716116815,"Ibudareign","Rvk",17,"1","1",117.2,4.62202730305451,"1","0","1","1","1","2","1",10,0,687,2.00148000021012,"100","0","2"
"1970",2139,9.92162212273161,"Ibudareign","Rvk",36,"1","0",109.6,4.37575702166029,"1","1","1","1","1","3","1",10,0,416,-1.8,"72","0","2"
"1972",2133,9.78717843013574,"Ibudareign","Hfj",60,"1","0",37.4,4.37952350445576,"1","1","0","1","1","2","1",10,0,1,-1.8,"600","0","2"
"1973",2137,9.84102687119352,"Ibudareign","Hfj",12,"1","1",141.2,4.38576962095272,"1","1","0","1","1","2","1",10,0,1,2.11625551480255,"630","0","2"
"1974",2133,9.85219425814858,"Ibudareign","Kop",40,"1","1",128.3,4.35799005684564,"1","1","0","1","1","2","1",10,0,130,-1.8,"320","62","2"
"1975",2133,10.4763861604999,"Ibudareign","Kop",7,"1","1",77,4.65491227788291,"1","1","1","1","1","2","1",10,0,615,1.91692261218206,"320","44","2"
"1977",2144,10.5877957844289,"Ibudareign","Rvk",8,"1","1",222.7,4.94591897937656,"1","0","2","2","1","2","1",10,0,661,2.30258509299405,"90","46","2"
"1978",2140,9.57275879054198,"Ibudareign","Rvk",42,"1","0",46,4.10429489307527,"1","0","1","1","1","1","1",10,0,1,2.23001440015921,"150","22","2"
"1979",2141,9.98419157995109,"Ibudareign","Rvk",27,"1","1",132,4.24276456734037,"1","0","1","1","1","1","1",10,0,351,-1.8,"280","0","2"
"1980",2151,9.6153387044949,"Ibudareign","Rvk",39,"1","0",69.7,4.29592393562047,"1","1","0","1","1","1","1",10,0,1,-1.8,"150","0","2"
"1981",2148,9.9954740331485,"Ibudareign","Rvk",41,"1","0",83.6,4.61611012602643,"1","1","0","1","1","3","1",10,0,1,2.56494935746154,"150","24","2"
"1982",2140,9.77656285896246,"Ibudareign","Rvk",14,"1","1",197.7,4.23265617801961,"1","1","0","1","1","1","1",10,0,102,1.75785791755237,"180","0","2"
"1983",2151,10.8122500179895,"Einbylishus","Rvk",40,"1","0",61,5.22035582507832,"2","1","2","2","1","4","2",10,69.4,1,-1.8,"150","0","1"
"1984",2144,9.8395888266859,"Ibudareign","Kop",34,"1","0",68.3,4.45550941143368,"1","1","0","1","1","2","1",10,0,615,-1.8,"300","0","2"
"1988",2193,10.5695461274053,"Einbylishus","Rvk",10,"1","0",70,5.33416701944173,"1","1","1","2","1","3","2",9.9,32.7,1,-1.8,"150","0","1"
"1994",2138,10.4556182541188,"Einbylishus","Hfj",61,"1","0",40.5,5.24702407216049,"2","1","1","2","1","6","2",10,42,1,-1.8,"680","0","1"
"1995",2140,10.2921455423279,"Ibudareign","Rvk",27,"1","0",86.7,4.83628190695148,"1","1","1","1","1","3","2",10,0,82,-1.8,"210","0","2"
"1997",2144,10.5877957844289,"Radhus","Rvk",46,"1","0",31,5.28826703069454,"2","0","1","2","1","3","2",10,0,676,-1.8,"280","0","1"
"1999",2139,10.0771466987514,"Ibudareign","Rvk",21,"1","0",65.5,4.47733681447821,"1","1","1","1","1","2","1",10,0,1,1.88706964903238,"130","0","2"
"2000",2138,10.4345274835524,"Parhus","Rvk",27,"1","0",43.2,4.92797806041525,"2","1","1","2","1","3","2",10,19,553,-1.8,"130","0","1"
"2001",2138,10.7541725273123,"Einbylishus","Rvk",42,"1","0",72.4,5.00729639283074,"1","1","1","1","1","4","2",10,45,1,-1.8,"150","0","1"
"2002",2138,9.82336150805684,"Ibudareign","Kop",44,"1","0",59.4,3.9759363311718,"1","1","0","1","1","2","1",10,25.4,437,-1.8,"320","0","2"
"2003",2133,10.5288910810096,"Einbylishus","Kop",73,"1","0",62.9,5.00996840510855,"1","0","1","1","1","5","2",10,38.8,1,-1.8,"300","0","1"
"2004",2132,9.9448693903149,"Ibudareign","Kop",10,"1","1",109,4.07414185490458,"1","0","1","1","1","1","1",10,0,351,1.62924053973028,"300","104","2"
"2005",2139,10.1274707512478,"Ibudareign","Kop",11,"1","1",110,4.54435804659133,"1","1","1","1","1","2","1",10,0,1,-1.8,"351","0","2"
"2006",2133,10.0871415545639,"Ibudareign","Kop",21,"1","1",121.4,4.60517018598809,"1","1","1","1","1","3","1",10,0,585,1.56861591791385,"330","0","2"
"2009",2132,9.88328484521861,"Einbylishus","Grb",65,"1","0",33.7,4.26267987704132,"1","1","0","1","1","2","1",10,0,1,-1.8,"500","0","1"
"2011",2141,10.6571887641857,"Ibudareign","Kop",7,"1","1",77,4.94734044372394,"1","1","1","1","1","3","1",10,0,307,1.97408102602201,"320","44","2"
"2012",2138,10.2093532954215,"Ibudareign","Rvk",29,"1","0",63.9,4.3502779363593,"1","1","0","1","1","3","1",10,0,1,-1.8,"72","0","2"
"2013",2140,10.8910937898269,"Einbylishus","Rvk",38,"1","0",64.5,5.39226297939056,"2","1","1","2","1","6","2",10,21.6,233,-1.8,"220","0","1"
"2014",2139,10.5555001897375,"Radhus","Rvk",28,"1","0",42.7,5.20125565370491,"2","1","2","2","1","4","2",10,29.1,1,-1.8,"120","107","1"
"2015",2139,10.2887499533268,"Ibudareign","Rvk",16,"1","0",99.6,4.78080275463125,"1","1","0","1","1","3","1",10,24.8,694,1.98787434815435,"130","0","2"
"2016",2140,11.3436543791205,"Einbylishus","Kop",60,"1","0",54.8,5.68391984555995,"2","2","2","2","1","4","2",10,0,137,-1.8,"300","34","1"
"2017",2132,10.7170365589484,"Parhus","Kop",22,"1","0",42.7,5.09864617141897,"2","1","1","1","1","4","2",10,24.5,585,-1.8,"340","0","1"
"2018",2137,10.5119207151551,"Ibudareign","Kop",10,"1","0",64.4,4.78665806203347,"1","1","1","1","1","2","1",10,40.2,67,2.91235066461494,"350","0","2"
"2019",2140,10.1998072133835,"Ibudareign","Kop",11,"1","1",139,4.80811102998478,"1","1","1","1","1","3","1",10,0,48,-1.8,"351","0","2"
"2020",2162,10.9422613686248,"Einbylishus","Kop",14,"1","0",51.8,5.14224818089815,"1","1","1","1","1","4","2",10,26,1,2.06686275947298,"350","0","1"
"2021",2154,9.96918165573149,"Ibudareign","Kop",11,"1","1",225.7,4.51195780426591,"1","0","1","1","1","2","1",10,0,619,2.27212588550934,"351","0","2"
"2022",2146,10.2013674499644,"Ibudareign","Rvk",15,"1","1",74.3,4.70772677431318,"1","0","1","1","1","3","1",10,0,1,-1.8,"180","0","2"
"2024",2138,9.61580548008435,"Ibudareign","Rvk",50,"1","0",53.6,4.3425058765116,"1","1","0","1","1","2","1",10,0,342,1.94591014905531,"170","0","2"
"2025",2138,9.33996413976969,"Ibudareign","Rvk",45,"1","0",61,4.05525717351405,"1","1","0","1","1","1","1",10,0,1,2.41591377830105,"161","0","2"
"2026",2140,9.88791695754517,"Ibudareign","Rvk",44,"1","1",110.2,4.08597631255158,"1","1","0","1","1","1","1",10,0,683,1.48160454092422,"283","0","2"
"2027",2139,9.84501062277715,"Ibudareign","Rvk",24,"1","0",90.7,4.48300255201388,"1","0","1","1","1","2","1",10,0,591,-1.8,"130","0","2"
"2028",2132,10.8926569298229,"Radhus","Grb",11,"1","0",31.6,5.32154549266724,"2","1","2","2","1","3","1",10,27.2,306,-1.8,"511","0","1"
"2029",2137,9.914328575714,"Ibudareign","Rvk",59,"1","0",56,4.47847253294213,"1","0","1","1","1","2","1",10,0,1,-1.8,"80","0","2"
"2030",2137,9.96974334831319,"Ibudareign","Rvk",59,"1","0",57.3,4.60716818865076,"1","1","0","1","1","2","2",10,0,257,1.79175946922805,"100","1","2"
"2031",2138,9.78397176653456,"Ibudareign","Rvk",24,"1","0",131.9,4.48300255201388,"1","0","1","1","1","2","1",10,0,1,-1.8,"130","0","2"
"2032",2181,9.66147968357552,"Ibudareign","Rvk",29,"1","1",109,4.16821441078856,"1","0","0","0","1","1","2",10,0,445,-1.8,"120","0","2"
"2033",2138,9.75062770589179,"Ibudareign","Rvk",43,"1","0",65.3,4.671893818031,"2","1","0","1","1","4","1",10,0,658,2.01490302054226,"150","22","2"
"2034",2137,10.059679005711,"Ibudareign","Rvk",87,"1","0",38,4.3554259528767,"1","0","1","1","1","1","2",10,0,1,1.62924053973028,"20","25","2"
"2035",2137,10.9609305641662,"Ibudareign","Rvk",68,"1","0",51,5.19904936488937,"2","1","1","2","1","6","2",10,0,561,-1.8,"70","6","2"
"2036",2137,9.85801936448898,"Ibudareign","Rvk",43,"1","0",92,4.41521960202965,"1","1","0","1","1","2","1",10,0,10,2.33214389523559,"150","24","2"
"2043",2131,9.81547567521291,"Ibudareign","Grb",33,"1","0",70.5,4.23410650459726,"1","0","1","1","1","1","1",10,0,94,-1.8,"500","59","2"
"2044",2133,10.4682330182915,"Ibudareign","Hfj",12,"1","0",70,5.02388052084628,"1","1","1","1","1","4","1",10,0,1,-1.8,"630","0","2"
"2045",2137,9.92373125901317,"Ibudareign","Sel",36,"1","1",393,4.31079912538551,"1","0","1","1","1","1","1",10,0,536,1.56861591791385,"400","0","2"
"2046",2138,9.43348392329039,"Ibudareign","Rvk",44,"1","1",90.4,4.0517849478033,"1","1","0","1","1","1","1",10,0,559,1.52605630349505,"160","0","2"
"2048",2139,9.47216602988274,"Ibudareign","Rvk",45,"1","1",134,4.15261347034608,"1","1","1","1","1","1","1",10,0,664,-1.8,"160","21","2"
"2049",2139,9.80670128384844,"Ibudareign","Rvk",70,"1","0",30.5,4.09600984154116,"1","1","0","1","1","1","1",10,0,1,1.6094379124341,"80","0","2"
"2050",2131,10.2540387847668,"Ibudareign","Hfj",18,"1","0",86.8,4.79081953287472,"1","1","1","1","1","3","1",10,0,595,-1.8,"640","0","2"
"2051",2146,10.4536877237761,"Ibudareign","Kop",6,"1","1",86,4.66532410880784,"1","1","1","1","1","2","1",10,0,10,2.10413415427021,"320","44","2"
"2052",2148,9.90348755253613,"Ibudareign","Kop",36,"1","0",103,4.30000279919529,"1","1","0","1","1","2","1",10,0,568,-1.8,"320","0","2"
"2053",2131,10.2343368672635,"Ibudareign","Kop",17,"1","1",84,4.74319148388547,"1","1","1","1","1","3","1",9.6,0,619,1.91692261218206,"340","0","2"
"2054",2132,9.95589023132918,"Ibudareign","Kop",11,"1","1",225.7,4.25277179881662,"1","1","0","1","1","1","1",10,0,670,2.27212588550934,"351","0","2"
"2055",2131,10.2200485845383,"Ibudareign","Kop",61,"1","0",43.4,4.63957161270542,"1","1","0","1","1","3","1",10,24.9,499,-1.8,"320","0","1"
"2056",2137,10.1658518170036,"Ibudareign","Hfj",8,"1","1",160,4.56746831880408,"1","1","0","1","1","2","1",10,0,591,2.61739583283408,"600","18","2"
"2057",2133,10.8151073927604,"Einbylishus","Mos",37,"1","0",72.3,5.88970863815359,"2","1","1","2","1","6","2",10,52.5,1,-1.8,"800","0","1"
"2058",2133,10.1076521372525,"Ibudareign","Hfj",6,"1","1",102,4.45898767581001,"1","1","1","1","1","2","1",10,0,662,2.17475172148416,"640","0","2"
"2059",2131,10.8287974888304,"Parhus","Kop",18,"1","0",40.5,5.17727903817098,"2","0","1","2","1","5","2",10,30,529,-1.8,"340","0","1"
"2060",2139,10.4479026792957,"Ibudareign","Hfj",8,"1","1",160,4.78998862298063,"1","1","1","2","1","2","1",10,0,683,2.70805020110221,"600","18","2"
"2061",2132,10.5854979486852,"Einbylishus","Hfj",45,"1","0",52.4,4.9416424226093,"1","0","1","2","1","4","2",10,55.2,1,-1.8,"600","0","1"
"2062",2137,10.4507993848725,"Ibudareign","Mos",10,"1","1",130.8,4.95441761409803,"1","1","1","1","1","3","1",10,35.3,34,2.68784749378469,"810","0","2"
"2063",2137,10.078070913235,"Ibudareign","Rvk",46,"1","0",44.6,4.53259949315326,"1","1","0","1","1","3","1",10,0,40,1.50407739677627,"280","0","2"
"2064",2133,10.0297677184465,"Ibudareign","Rvk",61,"1","0",57,4.57367951889672,"2","1","0","1","1","3","1",10,0,267,-1.8,"72","0","2"
"2065",2133,10.5927271082651,"Ibudareign","Rvk",8,"1","1",222.7,4.82189316949938,"1","0","1","1","1","2","1",10,0,661,2.2082744135228,"90","46","2"
"2066",2133,9.71474542793925,"Ibudareign","Sel",88,"1","0",62,4.4188406077966,"1","0","1","1","1","2","1",10,0,1,1.91692261218206,"400","0","2"
"2067",2132,10.0376687340021,"Ibudareign","Hfj",11,"1","1",126.8,4.5152454784601,"1","1","0","1","1","2","1",10,0,600,2.04122032885964,"680","105","2"
"2069",2157,11.0064735957133,"Einbylishus","Rvk",38,"1","0",51,5.4506091768903,"2","1","1","2","1","4","2",10,40.8,658,-1.8,"220","0","1"
"2070",2133,10.2846258144866,"Ibudareign","Rvk",32,"1","0",68.8,4.54116485601218,"1","1","0","1","1","4","1",10,0,407,-1.8,"11","0","2"
"2071",2133,9.89166797573079,"Ibudareign","Rvk",35,"1","0",60.9,4.55176940926098,"1","1","1","1","1","2","2",10,0,33,-1.8,"220","0","2"
"2072",2137,9.6357388177918,"Ibudareign","Rvk",72,"1","0",42.2,3.80666248977032,"1","1","0","1","1","2","1",10,0,1,0,"80","0","2"
"2075",2130,10.0417265967599,"Ibudareign","Grb",28,"1","1",180.2,4.56954300834494,"1","0","1","1","1","2","1",10,0,632,-1.8,"500","0","2"
"2076",2167,10.1560733944503,"Ibudareign","Kop",10,"1","1",109,4.3528552573736,"1","0","1","1","1","2","1",10,0,506,1.94591014905531,"300","104","2"
"2077",2131,10.0364875539974,"Ibudareign","Kop",17,"1","1",331.2,4.36564315542336,"1","1","0","1","1","2","1",10,0,564,2.00148000021012,"340","0","2"
"2078",2137,10.4635032604929,"Ibudareign","Rvk",70,"1","0",46.4,4.74927052996185,"1","1","0","1","1","3","1",10,0,492,1.45861502269952,"90","0","2"
"2079",2138,9.76319046699741,"Ibudareign","Rvk",40,"1","0",49.4,4.55387689160054,"1","0","1","1","1","3","1",10,0,40,1.91692261218206,"150","22","2"
"2080",2180,10.2677833836062,"Radhus","Rvk",63,"2","0",23,4.9119193211571,"2","1","1","2","2","3","2",10,0,267,-1.8,"100","0","1"
"2082",2137,9.66376990660086,"Ibudareign","Rvk",22,"1","0",64.8,4.13196142579341,"1","0","1","1","1","1","1",10,0,1,1.54756250871601,"130","0","2"
"2083",2141,9.32465071815359,"Ibudareign","Rvk",50,"1","0",330.2,4.22097721315547,"1","1","0","1","1","2","1",10,0,1,2.23001440015921,"170","0","2"
"2084",2133,9.32322252903286,"Ibudareign","Rvk",51,"1","0",62,3.89385903480047,"1","0","1","1","1","1","1",10,0,1,0.262364264467491,"200","0","2"
"2085",2132,9.99126946591966,"Ibudareign","Grb",14,"1","1",281.5,4.23555473077362,"1","1","0","1","1","2","1",10,0,1,2.09186406167839,"510","0","2"
"2086",2130,9.60884799951685,"Ibudareign","Hfj",37,"1","0",70.6,4.18813844150846,"2","1","0","1","1","1","1",10,0,553,-1.8,"600","0","2"
"2087",2137,10.650459819791,"Einbylishus","Rvk",54,"1","0",42.6,5.29881724158969,"2","0","2","2","2","3","2",10,0,60,-1.8,"100","0","1"
"2088",2231,10.3670014187509,"Ibudareign","Rvk",64,"1","0",38,4.37575702166029,"1","1","0","1","1","2","2",10,45,416,3.30321697330195,"283","0","2"
"2089",2153,9.66109746927605,"Ibudareign","Rvk",57,"1","1",87.3,3.85014760171006,"1","1","0","1","1","1","1",10,0,425,-1.8,"100","0","2"
"2090",2131,10.5570879667932,"Einbylishus","Mos",28,"1","0",62.4,4.99721227376411,"1","1","0","2","1","4","1",10,25.2,1,-1.8,"800","0","1"
"2091",2132,10.5112946859291,"Parhus","Mos",26,"1","0",39.1,4.92725368515721,"2","1","1","2","1","3","1",10,26.7,1,-1.8,"800","0","1"
"2092",2132,9.86151906771363,"Ibudareign","Rvk",23,"1","1",124,4.42484663185681,"1","0","1","1","1","1","1",10,0,529,1.19392246847243,"100","1","2"
"2093",2139,9.35599794439855,"Ibudareign","Rvk",44,"1","1",92,4.05525717351405,"1","1","0","1","1","1","1",10,0,559,-1.8,"160","0","2"
"2094",2132,9.7005142080113,"Ibudareign","Rvk",83,"1","0",40.7,3.7864597824528,"1","1","0","1","1","1","1",10,0,1,2.4932054526027,"25","0","2"
"2095",2138,10.1043036919662,"Ibudareign","Rvk",82,"1","0",43.3,4.61115225766564,"2","1","0","1","1","2","1",10,0,492,1.19392246847243,"70","0","1"
"2096",2140,10.1122075831846,"Ibudareign","Rvk",92,"1","0",43,4.24706564923976,"1","1","0","1","1","2","2",10,0,1,-1.8,"20","0","2"
"2097",2134,9.92240743738864,"Ibudareign","Rvk",93,"1","0",40,4.29864502573483,"1","1","0","1","1","2","1",10,0,1,-1.8,"20","0","2"
"2098",2131,10.9592445308978,"Ibudareign","Rvk",20,"1","1",85.4,4.82350218030508,"1","1","1","2","1","2","2",10,0,371,2.9338568698359,"20","0","2"
"2099",2131,10.462102840138,"Radhus","Rvk",36,"1","0",39,5.34996059969987,"3","1","0","2","1","6","2",10,0,694,-1.8,"150","0","1"
"2100",2141,9.4893348160304,"Ibudareign","Rvk",33,"1","0",89.5,4.00369019395397,"1","1","0","1","1","1","1",10,0,1,1.38629436111989,"220","0","2"
"2101",2133,10.7715959354837,"Einbylishus","Rvk",31,"1","0",55.7,5.06322774421543,"1","1","1","1","1","4","2",10,27.7,1,-1.8,"120","0","1"
"2102",2138,10.3346204073929,"Ibudareign","Rvk",14,"1","1",74.3,4.77996347636125,"1","1","1","1","1","4","1",10,0,18,2.06686275947298,"180","0","2"
"2103",2132,9.84934810643548,"Ibudareign","Rvk",46,"1","0",58.4,4.59309760475382,"1","1","0","1","1","3","1",10,0,1,2.02814824729229,"160","21","2"
"2104",2131,10.4427840082778,"Einbylishus","Rvk",60,"1","0",30.2,4.58904080405821,"2","1","0","1","1","3","1",10,0,1,-1.8,"281","0","1"
"2105",2131,9.74337748410739,"Ibudareign","Rvk",89,"1","0",29,4.20469261939097,"1","1","0","1","1","2","1",10,0,1,-1.8,"25","0","2"
"2106",2133,10.7866143916318,"Radhus","Rvk",48,"1","0",28,5.19351225218191,"2","1","1","2","1","5","2",10,19.4,39,-1.8,"280","0","1"
"2107",2141,9.86266555801587,"Ibudareign","Rvk",52,"1","0",62,4.68305672464516,"1","1","1","1","1","3","2",10,0,437,-1.8,"200","0","2"
"2108",2131,10.1570439102585,"Ibudareign","Rvk",17,"1","1",134,4.37826958579617,"1","0","1","1","1","1","1",10,0,529,2.04122032885964,"100","0","2"
"2116",2130,10.4775133021882,"Ibudareign","Grb",14,"1","1",291.4,4.71402459090017,"1","0","1","1","1","2","1",10,0,26,1.87180217690159,"510","49","2"
"2117",2130,10.629948612126,"Radhus","Grb",17,"1","0",41.9,4.72472942104573,"1","1","1","1","1","3","2",10,28.4,1,-1.8,"520","0","1"
"2118",2131,9.57220184260222,"Ibudareign","Kop",40,"1","1",125.7,4.13035499974513,"1","0","1","1","1","1","1",10,0,85,-1.8,"320","62","2"
